Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
135,3.79371,3.850615,0.015402,3.835213,0.041503,4.097822,327.83,309.78
136,3.831647,3.889121,0.015556,3.873565,0.041918,4.13974,331.18,313.97
137,3.869963,3.928013,0.015712,3.912301,0.042337,4.182077,334.57,318.21
138,3.908663,3.967293,0.015869,3.951424,0.042761,4.224838,337.99,322.48
139,3.947749,4.006966,0.016028,3.990938,0.043188,4.268026,341.44,326.8
140,3.987227,4.047035,0.016188,4.030847,0.04362,4.311647,344.93,331.16
141,4.027099,4.087506,0.01635,4.071156,0.044056,4.355703,348.46,335.57
142,4.06737,4.128381,0.016514,4.111867,0.044497,4.4002,352.02,340.02
143,4.108044,4.169665,0.016679,4.152986,0.044942,4.445142,355.61,344.51
144,4.149124,4.211361,0.016845,4.194516,0.045391,4.490533,359.24,349.05
145,4.190616,4.253475,0.017014,4.236461,0.045845,4.536379,362.91,353.64
146,4.232522,4.29601,0.017184,4.278826,0.046304,4.582683,366.61,358.27
147,4.274847,4.33897,0.017356,4.321614,0.046767,4.629449,370.36,362.94
148,4.317595,4.382359,0.017529,4.36483,0.047234,4.676684,374.13,367.67
149,4.360771,4.426183,0.017705,4.408478,0.047707,4.724391,377.95,372.44
150,4.404379,4.470445,0.017882,4.452563,0.048184,4.772575,381.81,377.26
151,4.448423,4.515149,0.018061,4.497089,0.048666,4.82124,385.7,382.12
152,4.492907,4.560301,0.018241,4.54206,0.049152,4.870393,389.63,387.04
153,4.537836,4.605904,0.018424,4.58748,0.049644,4.920037,393.6,392
154,4.583215,4.651963,0.018608,4.633355,0.05014,4.970177,397.61,397.02
155,4.629047,4.698482,0.018794,4.679688,0.050642,5.020819,401.67,402.08
156,4.675337,4.745467,0.018982,4.726485,0.051148,5.071967,405.76,407.2
157,4.722091,4.792922,0.019172,4.77375,0.05166,5.123627,409.89,412.36
158,4.769311,4.840851,0.019363,4.821488,0.052176,5.175803,414.06,417.58
159,4.817005,4.88926,0.019557,4.869703,0.052698,5.228501,418.28,422.85
160,4.865175,4.938152,0.019753,4.9184,0.053225,5.281726,422.54,428.17
161,4.913826,4.987534,0.01995,4.967584,0.053757,5.335483,426.84,433.55
162,4.962965,5.037409,0.02015,5.017259,0.054295,5.389778,431.18,438.98
163,5.012594,5.087783,0.020351,5.067432,0.054838,5.444616,435.57,444.46
164,5.06272,5.138661,0.020555,5.118106,0.055386,5.500002,440,450
165,5.113347,5.190048,0.02076,5.169287,0.05594,5.555942,444.48,455.59
166,5.164481,5.241948,0.020968,5.22098,0.056499,5.612442,449,461.24
167,5.216126,5.294368,0.021177,5.27319,0.057064,5.669506,453.56,466.95
168,5.268287,5.347311,0.021389,5.325922,0.057635,5.727141,458.17,472.71
169,5.32097,5.400784,0.021603,5.379181,0.058211,5.785352,462.83,478.54
170,5.37418,5.454792,0.021819,5.432973,0.058794,5.844146,467.53,484.41
171,5.427921,5.50934,0.022037,5.487303,0.059381,5.903527,472.28,490.35
172,5.482201,5.564434,0.022258,5.542176,0.059975,5.963503,477.08,496.35
173,5.537023,5.620078,0.02248,5.597598,0.060575,6.024078,481.93,502.41
174,5.592393,5.676279,0.022705,5.653574,0.061181,6.085258,486.82,508.53
175,5.648317,5.733041,0.022932,5.710109,0.061793,6.147051,491.76,514.71
176,5.7048,5.790372,0.023161,5.76721,0.062411,6.209462,496.76,520.95
177,5.761848,5.848276,0.023393,5.824882,0.063035,6.272496,501.8,527.25
178,5.819466,5.906758,0.023627,5.883131,0.063665,6.336161,506.89,533.62
179,5.877661,5.965826,0.023863,5.941963,0.064302,6.400463,512.04,540.05
180,5.936438,6.025484,0.024102,6.001382,0.064945,6.465407,517.23,546.54
181,5.995802,6.085739,0.024343,6.061396,0.065594,6.531001,522.48,553.1
182,6.05576,6.146596,0.024586,6.12201,0.06625,6.597251,527.78,559.73
183,6.116318,6.208062,0.024832,6.18323,0.066913,6.664164,533.13,566.42
184,6.177481,6.270143,0.025081,6.245062,0.067582,6.731746,538.54,573.17
185,6.239256,6.332844,0.025331,6.307513,0.068257,6.800003,544,580
186,6.301648,6.396173,0.025585,6.370588,0.06894,6.868943,549.52,586.89
187,6.364665,6.460135,0.025841,6.434294,0.069629,6.938573,555.09,593.86
188,6.428311,6.524736,0.026099,6.498637,0.070326,7.008898,560.71,600.89
189,6.492594,6.589983,0.02636,6.563623,0.071029,7.079927,566.39,607.99
190,6.55752,6.655883,0.026624,6.62926,0.071739,7.151667,572.13,615.17
191,6.623096,6.722442,0.02689,6.695552,0.072457,7.224123,577.93,622.41
192,6.689326,6.789666,0.027159,6.762508,0.073181,7.297304,583.78,629.73
193,6.75622,6.857563,0.02743,6.830133,0.073913,7.371217,589.7,637.12
194,6.823782,6.926139,0.027705,6.898434,0.074652,7.44587,595.67,644.59
195,6.89202,6.9954,0.027982,6.967418,0.075399,7.521268,601.7,652.13
196,6.96094,7.065354,0.028261,7.037093,0.076153,7.597421,607.79,659.74
197,7.030549,7.136008,0.028544,7.107464,0.076914,7.674335,613.95,667.43
198,7.100855,7.207368,0.028829,7.178538,0.077683,7.752019,620.16,675.2
199,7.171863,7.279441,0.029118,7.250324,0.07846,7.830479,626.44,683.05
200,7.243582,7.352236,0.029409,7.322827,0.079245,7.909724,632.78,690.97
201,7.316018,7.425758,0.029703,7.396055,0.080037,7.989761,639.18,698.98
202,7.389178,7.500016,0.03,7.470016,0.080838,8.070598,645.65,707.06
203,7.46307,7.575016,0.0303,7.544716,0.081646,8.152244,652.18,715.22
204,7.537701,7.650766,0.030603,7.620163,0.082462,8.234707,658.78,723.47
205,7.613078,7.727274,0.030909,7.696365,0.083287,8.317994,665.44,731.8
206,7.689208,7.804546,0.031218,7.773328,0.08412,8.402114,672.17,740.21
207,7.7661,7.882592,0.03153,7.851062,0.084961,8.487075,678.97,748.71
208,7.843761,7.961418,0.031846,7.929572,0.085811,8.572886,685.83,757.29
209,7.922199,8.041032,0.032164,8.008868,0.086669,8.659555,692.76,765.96
210,8.001421,8.121442,0.032486,8.088957,0.087536,8.74709,699.77,774.71
211,8.081435,8.202657,0.032811,8.169846,0.088411,8.835501,706.84,783.55
212,8.16225,8.284683,0.033139,8.251545,0.089295,8.924796,713.98,792.48
213,8.243872,8.36753,0.03347,8.33406,0.090188,9.014984,721.2,801.5
214,8.326311,8.451205,0.033805,8.417401,0.09109,9.106074,728.49,810.61
215,8.409574,8.535717,0.034143,8.501575,0.092001,9.198075,735.85,819.81
216,8.49367,8.621075,0.034484,8.58659,0.092921,9.290995,743.28,829.1
217,8.578606,8.707285,0.034829,8.672456,0.09385,9.384845,750.79,838.48
218,8.664392,8.794358,0.035177,8.759181,0.094788,9.479634,758.37,847.96
219,8.751036,8.882302,0.035529,8.846773,0.095736,9.57537,766.03,857.54
220,8.838547,8.971125,0.035884,8.93524,0.096694,9.672064,773.77,867.21
221,8.926932,9.060836,0.036243,9.024593,0.097661,9.769724,781.58,876.97
222,9.016201,9.151444,0.036606,9.114839,0.098637,9.868362,789.47,886.84
223,9.106363,9.242959,0.036972,9.205987,0.099624,9.967985,797.44,896.8
224,9.197427,9.335388,0.037342,9.298047,0.10062,10.068605,805.49,906.86
225,9.289401,9.428742,0.037715,9.391027,0.101626,10.170231,813.62,917.02
226,9.382295,9.52303,0.038092,9.484938,0.102642,10.272873,821.83,927.29
227,9.476118,9.61826,0.038473,9.579787,0.103669,10.376542,830.12,937.65
228,9.57088,9.714443,0.038858,9.675585,0.104705,10.481248,838.5,948.12
229,9.666588,9.811587,0.039246,9.772341,0.105752,10.587,846.96,958.7
230,9.763254,9.909703,0.039639,9.870064,0.10681,10.69381,855.5,969.38
231,9.860887,10.0088,0.040035,9.968765,0.107878,10.801688,864.14,980.17
232,9.959496,10.108888,0.040436,10.068452,0.108957,10.910645,872.85,991.06
233,10.059091,10.209977,0.04084,10.169137,0.110046,11.020692,881.66,1002.07
234,10.159681,10.312077,0.041248,10.270828,0.111147,11.131838,890.55,1013.18
235,10.261278,10.415197,0.041661,10.373537,0.112258,11.244097,899.53,1024.41
236,10.363891,10.519349,0.042077,10.477272,0.113381,11.357478,908.6,1035.75
237,10.46753,10.624543,0.042498,10.582045,0.114515,11.471993,917.76,1047.2
238,10.572205,10.730788,0.042923,10.687865,0.11566,11.587652,927.01,1058.77
239,10.677927,10.838096,0.043352,10.794744,0.116817,11.704469,936.36,1070.45
240,10.784707,10.946477,0.043786,10.902691,0.117985,11.822454,945.8,1082.25
241,10.892554,11.055942,0.044224,11.011718,0.119165,11.941618,955.33,1094.16
242,11.001479,11.166501,0.044666,11.121835,0.120356,12.061974,964.96,1106.2
243,11.111494,11.278166,0.045113,11.233054,0.12156,12.183534,974.68,1118.35
244,11.222609,11.390948,0.045564,11.345384,0.122775,12.30631,984.5,1130.63
245,11.334835,11.504858,0.046019,11.458838,0.124003,12.430313,994.43,1143.03
246,11.448183,11.619906,0.04648,11.573426,0.125243,12.555556,1004.44,1155.56
247,11.562665,11.736105,0.046944,11.689161,0.126496,12.682051,1014.56,1168.21
248,11.678292,11.853466,0.047414,11.806052,0.127761,12.809812,1024.78,1180.98
249,11.795075,11.972001,0.047888,11.924113,0.129038,12.93885,1035.11,1193.88
250,11.913026,12.091721,0.048367,12.043354,0.130328,13.069178,1045.53,1206.92
251,12.032156,12.212638,0.048851,12.163788,0.131632,13.20081,1056.06,1220.08
252,12.152477,12.334764,0.049339,12.285425,0.132948,13.333758,1066.7,1233.38
253,12.274002,12.458112,0.049832,12.40828,0.134278,13.468036,1077.44,1246.8
254,12.396742,12.582693,0.050331,12.532362,0.13562,13.603656,1088.29,1260.37
255,12.52071,12.70852,0.050834,12.657686,0.136977,13.740633,1099.25,1274.06
256,12.645917,12.835605,0.051342,12.784263,0.138346,13.878979,1110.32,1287.9
257,12.772376,12.963961,0.051856,12.912106,0.13973,14.018709,1121.5,1301.87
258,12.9001,13.093601,0.052374,13.041227,0.141127,14.159836,1132.79,1315.98
259,13.029101,13.224537,0.052898,13.171639,0.142538,14.302374,1144.19,1330.24
260,13.159392,13.356782,0.053427,13.303355,0.143964,14.446338,1155.71,1344.63
261,13.290985,13.49035,0.053961,13.436389,0.145403,14.591741,1167.34,1359.17
262,13.423895,13.625254,0.054501,13.570753,0.146857,14.738599,1179.09,1373.86
263,13.558134,13.761506,0.055046,13.70646,0.148326,14.886925,1190.95,1388.69
264,13.693716,13.899121,0.055596,13.843525,0.149809,15.036734,1202.94,1403.67
265,13.830653,14.038113,0.056152,13.98196,0.151307,15.188041,1215.04,1418.8
266,13.968959,14.178494,0.056714,14.12178,0.15282,15.340862,1227.27,1434.09
267,14.108649,14.320279,0.057281,14.262998,0.154349,15.495211,1239.62,1449.52
268,14.249735,14.463481,0.057854,14.405628,0.155892,15.651103,1252.09,1465.11
269,14.392233,14.608116,0.058432,14.549684,0.157451,15.808554,1264.68,1480.86
